left_x,left_y,right_x,right_y
-143.67660522460938,-228.5032501220703,-361.6716613769531,-179.57041931152344
-143.4683380126953,-226.9401092529297,-361.5133666992188,-180.55377197265625
-143.25941467285156,-225.3795928955078,-361.3479309082031,-181.5340576171875
-143.0498504638672,-223.82167053222656,-361.17584228515625,-182.5113220214844
-142.8397216796875,-222.26626586914065,-360.9956665039063,-183.48521423339844
-142.62918090820312,-220.7133026123047,-360.8063049316406,-184.4554748535156
-142.41822814941406,-219.16275024414065,-360.6081848144531,-185.42208862304688
-142.20704650878906,-217.61460876464844,-360.401611328125,-186.38511657714844
-141.9955596923828,-216.06884765625,-360.1868896484375,-187.3445281982422
-141.7837677001953,-214.52545166015625,-359.96405029296875,-188.30029296875
-141.57156372070312,-212.9843292236328,-359.7323913574219,-189.2521514892578
-141.35902404785156,-211.44549560546875,-359.4856872558594,-190.1981811523437
-141.14613342285156,-209.9088592529297,-359.2195129394531,-191.13687133789065
-140.93295288085938,-208.3744201660156,-358.9349975585937,-192.06822204589844
-140.7193603515625,-206.84207153320312,-358.6328430175781,-192.99205017089844
-140.50547790527344,-205.31187438964844,-358.3134155273437,-193.90802001953125
-140.291259765625,-203.7838134765625,-357.9766845703125,-194.8157501220703
-140.07681274414062,-202.25784301757807,-357.6229553222656,-195.71485900878903
-139.86195373535156,-200.73390197753903,-357.2526550292969,-196.6051483154297
-139.64678955078125,-199.2120361328125,-356.8660583496094,-197.4862670898437
-139.43133544921875,-197.6922149658203,-356.4633178710937,-198.35791015625
-139.21566772460938,-196.1744384765625,-356.04461669921875,-199.2197113037109
-138.9995880126953,-194.6586456298828,-355.6105041503906,-200.0715484619141
-138.7830352783203,-193.14491271972656,-355.16070556640625,-200.9128570556641
-138.56472778320312,-191.6334381103516,-354.6958923339844,-201.74354553222656
-138.34397888183594,-190.1243591308593,-354.2165222167969,-202.5634307861328
-138.120361328125,-188.61764526367188,-353.7223815917969,-203.37193298339844
-137.8941650390625,-187.1132659912109,-353.21417236328125,-204.1689910888672
-137.6666717529297,-185.6110992431641,-352.6924133300781,-204.9546813964844
-137.43850708007812,-184.1110076904297,-352.1572265625,-205.7285919189453
-137.20994567871094,-182.61297607421875,-351.6086730957031,-206.4904937744141
-136.9808807373047,-181.11688232421875,-351.0472412109375,-207.2402801513672
-136.7517852783203,-179.62286376953125,-350.4733581542969,-207.9779663085937
-136.5232391357422,-178.130615234375,-349.8868103027344,-208.7029571533203
-136.29544067382812,-176.6392364501953,-349.2882385253906,-209.41542053222656
-136.0686798095703,-175.147705078125,-348.67999267578125,-210.1171264648437
-135.8433837890625,-173.65480041503906,-348.0625,-210.8081512451172
-135.6212615966797,-172.15921020507812,-347.4358825683594,-211.48825073242188
-135.40234375,-170.6593475341797,-346.8008117675781,-212.1578369140625
-135.18365478515625,-169.1543426513672,-346.1581115722656,-212.8174743652344
-134.9647216796875,-167.64218139648438,-345.50860595703125,-213.4677734375
-134.74549865722656,-166.11961364746094,-344.85284423828125,-214.1090545654297
-134.52566528320312,-164.58326721191406,-344.1915283203125,-214.741928100586
-134.3036651611328,-163.0299072265625,-343.5280456542969,-215.3698883056641
-134.08596801757812,-161.5059356689453,-342.8632507324219,-215.9937438964844
-133.97239685058594,-160.71070861816406,-342.1965026855469,-216.6128692626953
-133.85787963867188,-159.9090576171875,-341.5260925292969,-217.2252655029297
-133.7423858642578,-159.1005859375,-340.8502502441406,-217.8288726806641
-133.62596130371094,-158.28567504882812,-340.1695861816406,-218.42431640625
-133.50869750976562,-157.46461486816406,-339.4842834472656,-219.0117034912109
-133.39053344726562,-156.63720703125,-338.7944641113281,-219.5909881591797
-133.27142333984375,-155.80311584472656,-338.1002502441406,-220.16226196289065
-133.15133666992188,-154.96189880371094,-337.40167236328125,-220.7253570556641
-133.0301971435547,-154.11322021484375,-336.6963195800781,-221.2769317626953
-132.90794372558594,-153.2567596435547,-335.98370361328125,-221.8160400390625
